house_id,Type,Location,Area,Bath(s),Bedroom(s),Price
46907385,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,15900000
46753448,House,"DHA Defence, Lahore, Punjab",10 Marla,6,4,35000000
46733917,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,20500000
46734453,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,20300000
47363501,House,"Defence Road, Lahore, Punjab",7.6 Marla,4,4,25800000
45841561,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,21000000
46899065,House,"Bahria Orchard, Lahore, Punjab",8 Marla,5,5,23400000
47180574,House,"Defence Road, Lahore, Punjab",10 Marla,6,6,41000000
47356772,Flat,"Defence Road, Lahore, Punjab",3 Marla,1,1,8400000
47363500,House,"Defence Road, Lahore, Punjab",7 Marla,4,4,29900000
45835867,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,37500000
46544342,House,"Bahria Town, Lahore, Punjab",5 Marla,3,3,21500000
45731845,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,20700000
47369212,Flat,"Askari, Lahore, Punjab",12 Marla,4,4,32500000
46438069,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,18000000
47371338,House,"Askari, Lahore, Punjab",10 Marla,4,3,40500000
46514477,House,"Bahria Town, Lahore, Punjab",5 Marla,3,3,23000000
46644060,House,"Central Park Housing Scheme, Lahore, Punjab",3.5 Marla,4,3,11300000
46597011,House,"Multan Road, Lahore, Punjab",3 Marla,3,3,5400000
47267549,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,4,16200000
47082179,House,"Jubilee Town, Lahore, Punjab",3 Marla,3,3,14200000
46916360,House,"Punjab University Employees Society, Lahore, Punjab",10 Marla,5,5,29000000
46598583,House,"Central Park Housing Scheme, Lahore, Punjab",3.5 Marla,4,4,12500000
46560439,House,"Al Noor Park Housing Society, Lahore, Punjab",3 Marla,2,1,3700000
47000434,House,"Raiwind Road, Lahore, Punjab",5 Marla,5,5,28000000
32488676,House,"Harbanspura, Lahore, Punjab",1 Kanal,7,6,60000000
47250331,House,"Park View City, Lahore, Punjab",5 Marla,4,4,19000000
47291148,House,"Bahria Orchard, Lahore, Punjab",8 Marla,4,4,25000000
46630371,House,"Park View City, Lahore, Punjab",6 Marla,5,5,23000000
46346888,House,"Central Park Housing Scheme, Lahore, Punjab",10 Marla,5,5,30000000
46724819,House,"New Lahore City, Lahore, Punjab",10 Marla,5,5,30000000
45349216,House,"Mughalpura, Lahore, Punjab",2.5 Marla,3,3,11500000
47392002,House,"DHA Defence, Lahore, Punjab",2 Kanal,5,6,120000000
47364374,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,12500000
47364381,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,12000000
47210994,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,105000000
46940021,House,"GT Road, Lahore, Punjab",5 Marla,5,4,13700000
45840272,House,"GT Road, Lahore, Punjab",3 Marla,5,4,11600000
47210998,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,105000000
46511792,House,"GT Road, Lahore, Punjab",3 Marla,4,3,8000000
45533645,Flat,"Bahria Town, Lahore, Punjab",1.3 Marla,1,1,5100000
45533652,Flat,"Bahria Town, Lahore, Punjab",2.3 Marla,1,1,8500000
47291153,House,"Bahria Orchard, Lahore, Punjab",10 Marla,5,5,32500000
45533647,Flat,"Bahria Town, Lahore, Punjab",2.2 Marla,1,1,5500000
47362773,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,19900000
47218414,House,"Park View City, Lahore, Punjab",10 Marla,6,5,37000000
47291492,House,"GT Road, Lahore, Punjab",5 Marla,5,4,13500000
47390916,House,"New Lahore City, Lahore, Punjab",5 Marla,3,3,12500000
47092187,House,"Paragon City, Lahore, Punjab",10 Marla,6,5,47500000
47291481,House,"GT Road, Lahore, Punjab",5 Marla,5,4,15000000
47230034,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,420000000
46247881,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,69500000
46265069,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,79200000
47216402,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,147500000
45665659,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,115000000
44586361,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,38500000
47362784,House,"DHA Defence, Lahore, Punjab",5 Marla,4,4,21200000
47362568,House,"DHA Defence, Lahore, Punjab",5 Marla,5,3,21500000
47216385,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,107500000
47148820,House,"Bahria Orchard, Lahore, Punjab",8 Marla,5,5,22500000
47396627,House,"DHA Defence, Lahore, Punjab",5 Marla,5,3,21200000
47268551,House,"Rail Town (Canal City), Lahore, Punjab",10 Marla,6,6,42000000
47391222,House,"Askari, Lahore, Punjab",10 Marla,3,3,42500000
47016658,House,"Park View City, Lahore, Punjab",5 Marla,5,4,17000000
47218515,House,"Park View City, Lahore, Punjab",5 Marla,5,4,17000000
46291053,House,"Paragon City, Lahore, Punjab",10 Marla,6,5,28000000
47363598,House,"Green City, Lahore, Punjab",8 Marla,5,4,27500000
45712829,House,"Paragon City, Lahore, Punjab",4 Marla,4,3,14500000
45655659,House,"Paragon City, Lahore, Punjab",5 Marla,4,3,24500000
45699354,House,"Paragon City, Lahore, Punjab",5 Marla,4,3,22000000
45718600,House,"Paragon City, Lahore, Punjab",4 Marla,4,3,14500000
47215737,House,"Khayaban-e-Amin, Lahore, Punjab",5 Marla,1,2,7700000
44584728,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,35500000
47118403,House,"Khayaban-e-Amin, Lahore, Punjab",5 Marla,3,3,14500000
47302899,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,19000000
46399849,House,"Lahore Medical Housing Society, Lahore, Punjab",8 Marla,6,6,26000000
46227882,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,48900000
47106172,House,"Bahria Town, Lahore, Punjab",5 Marla,3,3,21000000
46694047,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,6,82500000
46740859,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,77500000
46791935,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,7,150000000
46740965,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,72500000
46847595,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,39000000
47210749,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,125000000
47229644,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,40000000
47396499,House,"Bahria Town, Lahore, Punjab",5 Marla,5,3,26000000
46802326,House,"State Life Housing Society, Lahore, Punjab",1 Kanal,6,5,59500000
47100576,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,92000000
45836019,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,44500000
47236568,House,"Khayaban-e-Amin, Lahore, Punjab",5 Marla,2,3,13000000
46130508,House,"Raiwind Road, Lahore, Punjab",1 Kanal,6,5,85000000
47044129,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,84500000
47075758,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,6,77000000
47204321,House,"Raiwind Road, Lahore, Punjab",10 Marla,6,6,47500000
47389138,House,"College Road, Lahore, Punjab",10 Marla,6,4,40000000
46801356,House,"Raiwind Road, Lahore, Punjab",1 Kanal,6,5,83500000
47260442,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,79500000
47026334,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,21000000
46939960,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,135000000
46940057,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,125000000
46111744,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,58000000
47149651,Flat,"Askari, Lahore, Punjab",10 Marla,3,3,42500000
47267610,House,"Raiwind Road, Lahore, Punjab",5 Marla,5,4,18000000
47368586,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,107000000
47382161,House,"Park View City, Lahore, Punjab",10 Marla,6,6,31800000
47027736,House,"Bahria Orchard, Lahore, Punjab",5 Marla,5,3,15500000
47026057,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,53000000
47025765,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,39000000
47040117,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,3,16000000
47382222,House,"Park View City, Lahore, Punjab",5 Marla,4,4,16000000
47116286,House,"Raiwind Road, Lahore, Punjab",3 Marla,4,3,14500000
47063789,House,"Bahria Town, Lahore, Punjab",5 Marla,5,3,16500000
47378230,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,33000000
47388710,House,"Johar Town, Lahore, Punjab",10 Marla,6,6,37000000
47111281,House,"Raiwind Road, Lahore, Punjab",1 Kanal,6,7,95000000
47113445,House,"Raiwind Road, Lahore, Punjab",3 Marla,4,3,12200000
46792135,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,69500000
47388772,House,"Johar Town, Lahore, Punjab",1 Kanal,6,6,95000000
47113352,House,"Raiwind Road, Lahore, Punjab",3 Marla,4,3,12300000
47084082,House,"Ferozepur Road, Lahore, Punjab",2.6 Marla,3,3,6595000
45237365,House,"Ferozepur Road, Lahore, Punjab",2.3 Marla,3,3,5800000
47077638,House,"Architects Engineers Housing Society, Lahore, Punjab",10 Marla,5,5,35500000
42357463,House,"Ferozepur Road, Lahore, Punjab",3 Marla,4,5,7500000
47080289,House,"Sunfort Gardens, Lahore, Punjab",5 Marla,3,3,22500000
44772721,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,92500000
47246037,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,63000000
45000438,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,26000000
47129018,House,"Ferozepur Road, Lahore, Punjab",2.5 Marla,3,3,5995000
47128018,House,"Ferozepur Road, Lahore, Punjab",2.5 Marla,3,3,6500000
47113600,House,"Ferozepur Road, Lahore, Punjab",3 Marla,3,3,7950000
47084210,House,"Ferozepur Road, Lahore, Punjab",2 Marla,3,2,4995000
47095864,House,"Ferozepur Road, Lahore, Punjab",2.5 Marla,2,2,5850000
47302434,House,"DHA Defence, Lahore, Punjab",5 Marla,4,4,24500000
47357528,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,21500000
47354436,House,"Askari, Lahore, Punjab",10 Marla,5,4,44800000
47034745,House,"Askari, Lahore, Punjab",1 Kanal,4,5,75000000
46905595,House,"Canal Garden, Lahore, Punjab",5.5 Marla,4,4,18500000
47307781,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,46500000
47228394,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,30000000
47241018,House,"Kahna, Lahore, Punjab",5 Marla,5,4,9500000
47241019,House,"Kahna, Lahore, Punjab",5 Marla,5,4,9500000
47326465,House,"Kahna, Lahore, Punjab",5 Marla,3,2,6500000
47241034,House,"Kahna, Lahore, Punjab",5 Marla,5,4,9500000
47241023,House,"Kahna, Lahore, Punjab",5 Marla,5,4,9500000
25467291,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,82000000
27328316,House,"DHA Defence, Lahore, Punjab",10 Marla,6,4,42000000
25466065,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,65000000
18681046,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,80000000
18269840,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,50000000
23807745,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,54000000
47125679,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,79500000
23808022,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,42500000
47323348,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,31000000
44660876,House,"Sanda, Lahore, Punjab",4 Marla,3,4,7800000
47266385,Flat,"DHA Defence, Lahore, Punjab",10 Marla,4,3,54500000
47051389,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,22500000
47051460,House,"DHA Defence, Lahore, Punjab",5 Marla,4,4,25500000
45378452,House,"State Life Housing Society, Lahore, Punjab",1 Kanal,6,6,51000000
45378225,House,"State Life Housing Society, Lahore, Punjab",1 Kanal,6,6,51000000
45533551,House,"DHA Defence, Lahore, Punjab",10 Marla,6,4,39500000
28162835,House,"DHA Defence, Lahore, Punjab",1 Kanal,8,7,80000000
28162541,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,91500000
47301886,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,26500000
27835382,House,"DHA Defence, Lahore, Punjab",1 Kanal,8,7,77000000
47143133,House,"Raiwind Road, Lahore, Punjab",7 Marla,6,5,34000000
29700886,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,7,95000000
46207897,House,"New Lahore City, Lahore, Punjab",5 Marla,5,3,13500000
47169666,House,"Central Park Housing Scheme, Lahore, Punjab",1 Kanal,6,7,42500000
46467788,House,"New Lahore City, Lahore, Punjab",5 Marla,3,3,14000000
47051662,House,"DHA Defence, Lahore, Punjab",10 Marla,4,3,37500000
47051512,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,52500000
47395678,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,26500000
47395750,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,30000000
47395677,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,26500000
47395751,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,30000000
46793232,House,"Central Park Housing Scheme, Lahore, Punjab",10 Marla,6,5,26000000
46582821,Flat,"DHA Defence, Lahore, Punjab",7.3 Marla,2,2,52000000
46500892,Flat,"Askari, Lahore, Punjab",11 Marla,4,3,32000000
46936731,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,11000000
47140090,House,"Bahria Town, Lahore, Punjab",1 Kanal,6,6,84000000
46842956,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,97000000
46844534,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,119500000
47125109,Flat,"Bahria Town, Lahore, Punjab",1.8 Marla,1,1,6000000
46844001,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,72500000
46768078,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,430000000
46769972,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,190000000
46739811,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,335000000
47144012,House,"Military Accounts Housing Society, Lahore, Punjab",16 Marla,4,4,37500000
47385355,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,6,180000000
46805233,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,6,79900000
47210911,House,"DHA Defence, Lahore, Punjab",1 Kanal,5,5,102500000
47386400,Flat,"Bahria Town, Lahore, Punjab",2.2 Marla,1,1,7000000
47210908,House,"DHA Defence, Lahore, Punjab",2 Kanal,5,5,310000000
46843942,House,"Central Park Housing Scheme, Lahore, Punjab",1 Kanal,6,6,28500000
47182604,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,49900000
45028645,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,69000000
47395453,Flat,"Gulberg, Lahore, Punjab",3.8 Marla,2,2,35700000
47395463,Flat,"Gulberg, Lahore, Punjab",2.6 Marla,2,2,24100000
47395535,House,"Ferozepur Road, Lahore, Punjab",5 Marla,3,3,16500000
47395454,Flat,"Gulberg, Lahore, Punjab",2.7 Marla,2,2,24900000
46861852,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,87500000
44585778,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,37500000
43692772,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,72500000
46527589,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,46500000
44585788,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,41500000
43692519,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,69500000
47382243,Flat,"Bahria Town, Lahore, Punjab",2.3 Marla,1,1,6500000
47090345,House,"DHA 11 Rahbar, Lahore, Punjab",5 Marla,4,4,20000000
46452239,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,21500000
47358928,House,"Bahria Town, Lahore, Punjab",1 Kanal,6,5,78500000
47358878,House,"Bahria Town, Lahore, Punjab",10 Marla,6,5,37500000
47357471,House,"Bahria Town, Lahore, Punjab",10 Marla,6,5,38500000
47358544,House,"Bahria Orchard, Lahore, Punjab",5 Marla,4,3,15000000
47358478,House,"Bahria Town, Lahore, Punjab",8 Marla,4,3,19000000
47358512,House,"Bahria Town, Lahore, Punjab",5 Marla,4,3,18000000
47395465,Flat,"Gulberg, Lahore, Punjab",2.4 Marla,2,2,20900000
47347326,House,"Bahria Town, Lahore, Punjab",8 Marla,5,4,26500000
47301887,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,24500000
44585346,House,"DHA Defence, Lahore, Punjab",10 Marla,5,4,39500000
45667705,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,74000000
46526326,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,75500000
45697509,Flat,"Gulberg, Lahore, Punjab",6.8 Marla,2,2,38100000
47141578,Flat,"Askari, Lahore, Punjab",10 Marla,3,3,26500000
44934036,House,"DHA Defence, Lahore, Punjab",5 Marla,5,4,19500000
47316351,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,220000000
47316353,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,230000000
47293280,House,"Izmir Town, Lahore, Punjab",10 Marla,5,5,44000000
47316350,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,210000000
47316332,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,190000000
47395400,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,24500000
47324209,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,11800000
47324210,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,12800000
47324212,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,12700000
47028819,House,"DHA Defence, Lahore, Punjab",5 Marla,4,3,30000000
47324207,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,12800000
47324211,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,19000000
47324919,House,"LDA Avenue, Lahore, Punjab",10 Marla,3,3,19900000
47316357,House,"DHA Defence, Lahore, Punjab",2 Kanal,6,6,240000000
47324221,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,19000000
47324220,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,12500000
47324218,House,"Raiwind Road, Lahore, Punjab",3 Marla,3,3,12200000
42974301,House,"DHA Defence, Lahore, Punjab",10 Marla,6,5,42500000
47210382,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,90000000
47281290,Flat,"Askari, Lahore, Punjab",10 Marla,4,3,24500000
47395194,Flat,"Askari, Lahore, Punjab",11.1 Marla,4,3,31800000
47395141,House,"Bahria Orchard, Lahore, Punjab",5 Marla,2,2,4900000
47384755,House,"Gulshan-e-Ravi, Lahore, Punjab",10 Marla,4,4,32500000
47319142,House,"Jubilee Town, Lahore, Punjab",3 Marla,4,4,12000000
46897970,House,"Jubilee Town, Lahore, Punjab",7 Marla,6,5,23000000
47210544,House,"DHA Defence, Lahore, Punjab",1 Kanal,6,5,160000000
